titles,idx,sentences,distances
virgil-aeneid_001,id1,"BOOK I The Trojans, after a seven years' voyage, set sail for Italy, but are overtaken by a dreadful storm, which Aeolus raises at the request of Juno. ",1.0623078346252441
virgil-aeneid_001,id111,"Above the rest, Aeneas mourns the fate Of brave Orontes, and th' uncertain state Of Gyas, Lycus, and of Amycus. ",0.7862298488616943
virgil-aeneid_001,id131,"Thou shalt behold thy wish'd Lavinian walls; And, ripe for heav'n, when fate Aeneas calls, Then shalt thou bear him up, sublime, to me: No councils have revers'd my firm decree. ",1.1022406816482544
virgil-aeneid_001,id15,"Carthage the name; belov'd by Juno more Than her own Argos, or the Samian shore. ",1.0805599689483643
virgil-aeneid_001,id150,"Meantime, in shades of night Aeneas lies: Care seiz'd his soul, and sleep forsook his eyes. ",0.9483721256256104
virgil-aeneid_001,id190,"The good Aeneas am I call'd, a name, While Fortune favour'd, not unknown to fame. ",0.9443045854568481
virgil-aeneid_001,id219,"Aeneas said, and view'd, with lifted eyes, Their lofty tow'rs; then, ent'ring at the gate, Conceal'd in clouds (prodigious to relate) ",0.8488022089004517
virgil-aeneid_001,id226,"What first Aeneas in this place beheld, Reviv'd his courage, and his fear expell'd. ",0.7905414700508118
virgil-aeneid_001,id250,"Another way by chance Aeneas bends His eyes, and unexpected sees his friends, Antheus, Sergestus grave, Cloanthus strong, And at their backs a mighty Trojan throng, Whom late the tempest on the billows toss'd, And widely scatter'd on another coast. ",0.8570195436477661
virgil-aeneid_001,id263,"Aeneas was our prince: a juster lord, Or nobler warrior, never drew a sword; Observant of the right, religious of his word. ",0.7920117378234863
virgil-aeneid_001,id268,Thus spoke Ilioneus: the Trojan crew With cries and clamours his request renew. ,1.0904264450073242
virgil-aeneid_001,id290,"Are you the great Aeneas, known to fame, Who from celestial seed your lineage claim? ",0.8959701657295227
virgil-aeneid_001,id291,The same Aeneas whom fair Venus bore To fam'd Anchises on th' Idaean shore? ,0.9542065262794495
virgil-aeneid_001,id300,"The good Aeneas, whose paternal care Iulus' absence could no longer bear, Dispatch'd Achates to the ships in haste, To give a glad relation of the past, And, fraught with precious gifts, to bring the boy, Snatch'd from the ruins of unhappy Troy: A robe of tissue, stiff with golden wire; An upper vest, once Helen's rich attire, From Argos by the fam'd adultress brought, With golden flow'rs and winding foliage wrought, Her mother Leda's present, when she came To ruin Troy and set the world on flame; The scepter Priam's eldest daughter bore, Her orient necklace, and the crown she wore Of double texture, glorious to behold, One order set with gems, and one with gold. ",0.8990318775177002
virgil-aeneid_001,id325,The dead is to the living love resign'd; And all Aeneas enters in her mind. ,0.8680668473243713
virgil-aeneid_001,id4,"Aeneas, with his own ship and six more, arrives safe at an African port. ",0.7644264698028564
virgil-aeneid_001,id7,"Aeneas, going out to discover the country, meets his mother in the shape of a huntress, who conveys him in a cloud to Carthage, where he sees his friends whom he thought lost, and receives a kind entertainment from the queen. ",0.7431697845458984
virgil-aeneid_001,id93,"Aeneas climbs the mountain's airy brow, And takes a prospect of the seas below, If Capys thence, or Antheus he could spy, Or see the streamers of Caicus fly. ",0.8126987218856812
virgil-aeneid_002,id1,"BOOK II Aeneas relates how the city of Troy was taken, after a ten years' siege, by the treachery of Sinon, and the stratagem of a wooden horse. ",0.9006826281547546
virgil-aeneid_002,id292,"Arriv'd at home, he, for whose only sake, Or most for his, such toils I undertake, The good Anchises, whom, by timely flight, I purpos'd to secure on Ida's height, Refus'd the journey, resolute to die And add his fun'rals to the fate of Troy, Rather than exile and old age sustain. ",1.073495626449585
virgil-aeneid_003,id1,"BOOK III Aeneas proceeds in his relation: he gives an account of the fleet with which he sailed, and the success of his first voyage to Thrace. ",0.8713595867156982
virgil-aeneid_003,id129,"The sun had now fulfill'd his annual course, And Boreas on the seas display'd his force: I fix'd upon the temple's lofty door The brazen shield which vanquish'd Abas bore; The verse beneath my name and action speaks: 'These arms Aeneas took from conqu'ring Greeks.' ",1.0025572776794434
virgil-aeneid_003,id161,"Proceeding on, another Troy I see, Or, in less compass, Troy's epitome. ",1.098830223083496
virgil-aeneid_003,id38,"""An island in th' Aegaean main appears; Neptune and wat'ry Doris claim it theirs. ",1.0959285497665405
virgil-aeneid_004,id1,"BOOK IV Dido discovers to her sister her passion for Aeneas, and her thoughts of marrying him. ",0.9451717138290405
virgil-aeneid_004,id194,"But good Aeneas, tho' he much desir'd To give that pity which her grief requir'd; Tho' much he mourn'd, and labour'd with his love, Resolv'd at length, obeys the will of Jove; Reviews his forces: they with early care Unmoor their vessels, and for sea prepare. ",0.9106939435005188
virgil-aeneid_004,id234,"Besides, old prophecies augment her fears; And stern Aeneas in her dreams appears, Disdainful as by day: she seems, alone, To wander in her sleep, thro' ways unknown, Guideless and dark; or, in a desert plain, To seek her subjects, and to seek in vain: Like Pentheus, when, distracted with his fear, He saw two suns, and double Thebes, appear; Or mad Orestes, when his mother's ghost Full in his face infernal torches toss'd, And shook her snaky locks: he shuns the sight, Flies o'er the stage, surpris'd with mortal fright; The Furies guard the door and intercept his flight. ",1.0807263851165771
virgil-aeneid_004,id3,"Juno, by Venus' consent, raises a storm, which separates the hunters, and drives Aeneas and Dido into the same cave, where their marriage is supposed to be completed. ",0.9732868075370789
virgil-aeneid_004,id4,"Jupiter despatches Mercury to Aeneas, to warn him from Carthage. ",1.0078071355819702
virgil-aeneid_004,id5,Aeneas secretly prepares for his voyage. ,0.7015334367752075
virgil-aeneid_004,id50,"Your Trojan with my Tyrian let us join; So Dido shall be yours, Aeneas mine: One common kingdom, one united line. ",0.9911476969718933
virgil-aeneid_004,id68,"But far above the rest in beauty shines The great Aeneas, the troop he joins; Like fair Apollo, when he leaves the frost Of wint'ry Xanthus, and the Lycian coast, When to his native Delos he resorts, Ordains the dances, and renews the sports; Where painted Scythians, mix'd with Cretan bands, Before the joyful altars join their hands: Himself, on Cynthus walking, sees below The merry madness of the sacred show. ",1.0404411554336548
virgil-aeneid_005,id1,"BOOK V Aeneas, setting sail from Afric, is driven by a storm on the coast of Sicily, where he is hospitably received by his friend Acestes, king of part of the island, and born of Trojan parentage. ",0.8186897039413452
virgil-aeneid_005,id111,"A coat of mail, brave Demoleus bore, More brave Aeneas from his shoulders tore, In single combat on the Trojan shore: This was ordain'd for Mnestheus to possess; ",0.9453562498092651
virgil-aeneid_005,id178,"But if the challenger these arms refuse, And cannot wield their weight, or dare not use; If great Aeneas and Acestes join In his request, these gauntlets I resign; Let us with equal arms perform the fight, And let him leave to fear, since I resign my right."" ",1.0966700315475464
virgil-aeneid_005,id180,"Then just Aeneas equal arms supplied, Which round their shoulders to their wrists they tied. ",0.8772718906402588
virgil-aeneid_005,id19,"Aeneas then replied: ""Too sure I find We strive in vain against the seas and wind: Now shift your sails; what place can please me more Than what you promise, the Sicilian shore, Whose hallow'd earth Anchises' bones contains, And where a prince of Trojan lineage reigns?"" ",0.8113304972648621
virgil-aeneid_005,id192,"Entellus wastes his forces on the wind, And, thus deluded of the stroke design'd, Headlong and heavy fell; his ample breast And weighty limbs his ancient mother press'd. ",1.0837321281433105
virgil-aeneid_005,id208,"The champion, then, before Aeneas came, Proud of his prize, but prouder of his fame: ""O goddess-born, and you, Dardanian host, Mark with attention, and forgive my boast; Learn what I was, by what remains; and know From what impending fate you sav'd my foe."" ",0.9075061082839966
virgil-aeneid_005,id213,"This done, Aeneas orders, for the close, The strife of archers with contending bows. ",0.9743804931640625
virgil-aeneid_005,id25,"Now, when the following morn had chas'd away The flying stars, and light restor'd the day, Aeneas call'd the Trojan troops around, And thus bespoke them from a rising ground: ""Offspring of heav'n, divine Dardanian race! ",0.9124184250831604
virgil-aeneid_005,id304,"By this, Aeneas and his train appear; And now the women, seiz'd with shame and fear, Dispers'd, to woods and caverns take their flight, Abhor their actions, and avoid the light; Their friends acknowledge, and their error find, And shake the goddess from their alter'd mind. ",0.9831324815750122
virgil-aeneid_005,id34,"Then Helymus, by his example led, And old Acestes, each adorn'd his head; Thus young Ascanius, with a sprightly grace, His temples tied, and all the Trojan race. ",1.0624842643737793
virgil-aeneid_005,id344,"The trembling women, the degenerate train, Who shunn'd the frightful dangers of the main, Ev'n those desire to sail, and take their share Of the rough passage and the promis'd war: Whom good Aeneas cheers, and recommends To their new master's care his fearful friends. ",0.9832392334938049
virgil-aeneid_005,id35,"Aeneas then advanc'd amidst the train, By thousands follow'd thro' the flow'ry plain, To great Anchises' tomb; which when he found, He pour'd to Bacchus, on the hallow'd ground, Two bowls of sparkling wine, of milk two more, And two from offer'd bulls of purple gore, With roses then the sepulcher he strow'd ",0.8861768841743469
virgil-aeneid_005,id360,"Your Trojan troops when proud Achilles press'd, And drove before him headlong on the plain, And dash'd against the walls the trembling train; When floods were fill'd with bodies of the slain; When crimson Xanthus, doubtful of his way, Stood up on ridges to behold the sea; New heaps came tumbling in, and chok'd his way; When your Aeneas fought, but fought with odds Of force unequal, and unequal gods; I spread a cloud before the victor's sight, Sustain'd the vanquish'd, and secur'd his flight; Ev'n then secur'd him, when I sought with joy The vow'd destruction of ungrateful Troy. ",1.0931285619735718
virgil-aeneid_005,id4,"Upon this, Aeneas, by the advice of one of his generals, and a vision of his father, builds a city for the women, old men, and others, who were either unfit for war, or weary of the voyage, and sails for Italy. ",0.8839865922927856
virgil-aeneid_006,id1,BOOK VI The Sibyl foretells Aeneas the adventures he should meet with in Italy. ,0.9236539602279663
virgil-aeneid_006,id112,"But good Aeneas order'd on the shore A stately tomb, whose top a trumpet bore, A soldier's falchion, and a seaman's oar. ",0.8944312930107117
virgil-aeneid_006,id17,"All this with wond'ring eyes Aeneas view'd; Each varying object his delight renew'd: Eager to read the rest, Achates came, And by his side the mad divining dame, The priestess of the god, Deiphobe her name. ",0.9627205729484558
virgil-aeneid_006,id211,"And proud Idaeus, Priam's charioteer, Who shakes his empty reins, and aims his airy spear. ",1.0600181818008423
virgil-aeneid_006,id286,"Assaracus and Ilus here enjoy Perpetual fame, with him who founded Troy. ",1.0207173824310303
virgil-aeneid_006,id299,"He, when Aeneas on the plain appears, Meets him with open arms, and falling tears. ",0.7927535176277161
virgil-aeneid_006,id314,"Aeneas wond'ring stood, then ask'd the cause Which to the stream the crowding people draws. ",0.9743571877479553
virgil-aeneid_006,id335,"A second Silvius after these appears; Silvius Aeneas, for thy name he bears; For arms and justice equally renown'd, Who, late restor'd, in Alba shall be crown'd. ",1.0048800706863403
virgil-aeneid_006,id385,"Aeneas here beheld, of form divine, A godlike youth in glitt'ring armour shine, With great Marcellus keeping equal pace; But gloomy were his eyes, dejected was his face. ",0.8299946784973145
virgil-aeneid_006,id407,"Straight to the ships Aeneas took his way, Embark'd his men, and skimm'd along the sea, Still coasting, till he gain'd Cajeta's bay. ",0.9251684546470642
virgil-aeneid_006,id79,"Aeneas went Sad from the cave, and full of discontent, Unknowing whom the sacred Sibyl meant. ",0.7990928888320923
virgil-aeneid_006,id86,"But by Pelides' arms when Hector fell, He chose Aeneas; and he chose as well. ",0.8437488079071045
virgil-aeneid_006,id88,"All weep; but most Aeneas mourns his fate, And hastens to perform the funeral state. ",0.9154810309410095
virgil-aeneid_007,id1,"BOOK VII King Latinus entertains Aeneas, and promises him his only daughter, Lavinia, the heiress of his crown. ",0.9406484365463257
virgil-aeneid_007,id159,"Then, if the line of Turnus you retrace, He springs from Inachus of Argive race."" ",1.0533002614974976
virgil-aeneid_007,id164,"""Evoe! O Bacchus!"" ",1.0911531448364258
virgil-aeneid_007,id284,"Etruria lost, He brings to Turnus' aid his baffled host. ",1.0734437704086304
virgil-aeneid_007,id3,"And thou, O matron of immortal fame, Here dying, to the shore hast left thy name; Cajeta still the place is call'd from thee, The nurse of great Aeneas' infancy. ",0.9901043176651001
virgil-aeneid_007,id52,"Aeneas took the word, and thus replies, Confessing fate with wonder in his eyes: ""All hail, O earth! ",0.7640572786331177
virgil-aeneid_008,id10,"Then Venulus to Diomede they send, To beg his aid Ausonia to defend, Declare the common danger, and inform The Grecian leader of the growing storm: ""Aeneas, landed on the Latian coast, With banish'd gods, and with a baffled host, Yet now aspir'd to conquest of the state, And claim'd a title from the gods and fate; What num'rous nations in his quarrel came, And how they spread his formidable name. ",0.9691979885101318
virgil-aeneid_008,id211,"Mindful of promis'd aid, he mends his pace, But meets Aeneas in the middle space. ",0.847737193107605
virgil-aeneid_008,id242,"The rest stood trembling, struck with awe divine; Aeneas only, conscious to the sign, Presag'd th' event, and joyful view'd, above, Th' accomplish'd promise of the Queen of Love. ",0.8667282462120056
virgil-aeneid_008,id268,"The horsemen march; the gates are open'd wide; Aeneas at their head, Achates by his side. ",0.9898049235343933
virgil-aeneid_008,id278,"Now, from a rising ground, Aeneas cast his wond'ring eyes around, And all the Tyrrhene army had in sight, Stretch'd on the spacious plain from left to right. ",0.7568607926368713
virgil-aeneid_008,id36,"While yet he spoke, His dream Aeneas and his sleep forsook. ",0.9428855180740356
virgil-aeneid_008,id38,"Then water in his hollow palm he took From Tiber's flood, and thus the pow'rs bespoke: ""Laurentian nymphs, by whom the streams are fed, And Father Tiber, in thy sacred bed Receive Aeneas, and from danger keep. ",0.9944918751716614
virgil-aeneid_008,id4,Aeneas goes in person to beg succours from Evander and the Tuscans. ,0.6818863749504089
virgil-aeneid_008,id44,"Aeneas takes the mother and her brood, And all on Juno's altar are bestow'd. ",0.8621184229850769
